posicao: 729.6341            posicao x: 122.99554            posicao y: 719.1926


sustentacao: 0.095091216            sustentacao x: 0.0            sustentacao y: -0.095091216
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 729.8281            posicao x: 123.995865            posicao y: 719.2177


sustentacao: 0.09505783            sustentacao x: 0.0            sustentacao y: -0.09505783
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 730.02924            posicao x: 124.99624            posicao y: 719.24866


sustentacao: 0.095010124            sustentacao x: 0.0            sustentacao y: -0.095010124
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 730.2377            posicao x: 125.99664            posicao y: 719.2857


sustentacao: 0.09496627            sustentacao x: 0.0            sustentacao y: -0.09496627
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 730.4537            posicao x: 126.99708            posicao y: 719.32904


sustentacao: 0.09492232            sustentacao x: 0.0            sustentacao y: -0.09492232
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 730.6773            posicao x: 127.99753            posicao y: 719.37885


sustentacao: 0.09488195            sustentacao x: 0.0            sustentacao y: -0.09488195
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 730.90875            posicao x: 128.99799            posicao y: 719.43524


sustentacao: 0.09486306            sustentacao x: 0.0            sustentacao y: -0.09486306
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 731.14813            posicao x: 129.99843            posicao y: 719.4984


sustentacao: 0.09485979            sustentacao x: 0.0            sustentacao y: -0.09485979
peso: 0.1            peso x: 0.0            peso y: 0.1
